,Brand A,Brand B,Brand C,margin,Profit per customer
0,0.44682038821932296,0.536649207293652,0.016530404487024607,27.0,0.4463209211496644
1,0.44317400697460657,0.5315915132189002,0.025234479806493196,26.7,0.6737606108333684
2,0.43433068194309854,0.5235026868523487,0.04216663120455305,26.5,1.117415726920656
3,0.43923346604185387,0.527206140277086,0.033560393681059994,25.8,0.8658581569713478
4,0.4306234974936278,0.5181014788103655,0.05127502369600662,25.5,1.307513104248169
5,0.41164044587028414,0.5032667550590785,0.08509279907063787,25.3,2.1528478164871383
6,0.4257262326261593,0.5178126230848319,0.05646114428900854,25.0,1.4115286072252133
7,0.41135278920494556,0.5055884617811679,0.08305874901388684,24.7,2.051551100643005
8,0.38492066613355247,0.486279842024752,0.12879949184169534,24.5,3.155587550121536
9,0.44843881272257063,0.5367180677983172,0.014843119479111816,25.4,0.3770152347694401
10,0.44415858133139613,0.5311557295769734,0.024685689091630433,25.1,0.6196107961999239
11,0.4324673704803493,0.5214096801045425,0.04612294941510851,24.9,1.148461440436202
12,0.4397428430230914,0.5257028811347888,0.03455427584212008,24.2,0.8362134753793059
13,0.4296157172872544,0.5153483679190369,0.05503591479370878,23.9,1.3153583635696398
14,0.40631627597116776,0.49773979575593474,0.09594392827289772,23.7,2.2738711000676757
15,0.42436196958612477,0.5146938195562024,0.060944210857673035,23.4,1.426094534069549
16,0.40795229859259063,0.5007536608219278,0.09129404058548164,23.1,2.108892337524626
17,0.37604978937520084,0.4779075533608,0.1460426572639994,22.9,3.344376851345586
18,0.44816732984193564,0.5379877543409773,0.013844915817086773,25.2,0.3488918785905867
19,0.44434472693923416,0.5331419565017584,0.022513316559007537,24.9,0.5605815823192877
20,0.4321813529757548,0.5237289359328561,0.044089711091388734,24.7,1.0890158639573018
21,0.44052299557764063,0.5282701026369993,0.031206901785359786,24.0,0.7489656428486349
22,0.4324228569064564,0.5195911363991492,0.04798600669439428,23.7,1.1372683586571444
23,0.41055218878008565,0.503152294219275,0.08629551700063956,23.5,2.0279446495150295
24,0.42690148319692256,0.5180259902404457,0.05507252656263158,23.2,1.2776826162530526
25,0.41338022120114376,0.5061458161029231,0.0804739626959329,22.9,1.8428537457368634
26,0.38393782784195396,0.4849203718905497,0.13114180026749675,22.7,2.976918866072176
27,0.4437045349142904,0.5325278735940595,0.02376759149165004,26.5,0.6298411745287261
28,0.43835977241305424,0.5257681911810593,0.0358720364058862,26.2,0.9398473538342185
29,0.42573722205621023,0.5151350412589835,0.059127736684806156,26.0,1.53732115380496
30,0.4327032918139539,0.5195570784945108,0.04773962969153531,25.3,1.2078126311958433
31,0.4206667487337838,0.5074390264164796,0.07189422484973643,25.0,1.7973556212434108
32,0.3952126296389977,0.48856486789568043,0.116222502465322,24.8,2.8823180611399857
33,0.414783270104447,0.5076606712490292,0.07755605864652364,24.5,1.9001234368398292
34,0.3955340924180876,0.49170309990219296,0.11276280767971945,24.2,2.728859945849211
35,0.36078041760641305,0.4676203013765524,0.1715992810170344,24.0,4.118382744408826
36,0.44521707834360763,0.5327055845322786,0.022077337124113902,24.9,0.5497256943904362
37,0.4389525557331561,0.5251688160025499,0.03587862826429379,24.6,0.8826142553016273
38,0.4222644550952506,0.512382543784641,0.06535300112010904,24.4,1.5946132273306606
39,0.43263317720842875,0.5177451746692394,0.0496216481223321,23.7,1.1760330604992708
40,0.4186109160137555,0.5039112868674198,0.07747779711882506,23.4,1.8129804525805064
41,0.38709392092374384,0.4815107441339488,0.1313953349423081,23.2,3.048371770661548
42,0.41246593155513656,0.503887138732445,0.08364692971241862,22.9,1.9155146904143863
43,0.3906240655807639,0.4856756791291289,0.12370025529010772,22.6,2.795625769556435
44,0.3482997955012724,0.457174096824811,0.19452610767391657,22.4,4.357384811895731
45,0.445485154293153,0.5346184675728176,0.019896378134029485,24.7,0.4914405399105283
46,0.4400556506252471,0.5281125104776137,0.031831838897139024,24.4,0.7766968690901921
47,0.4237584855089961,0.515997460645366,0.0602440538456371,24.2,1.4579061030644178
48,0.4347637220498457,0.521544169333077,0.04369210861707702,23.5,1.02676455250131
49,0.4235609476556067,0.5100368697776635,0.06640218256672956,23.2,1.5405306355481256
50,0.39495514850062247,0.48937808667060306,0.11566676482877465,23.0,2.660335591061817
51,0.416922932197353,0.50868594574912,0.0743911220535267,22.7,1.6886784706150562
52,0.3989376457024345,0.4932737402789501,0.1077886140186158,22.4,2.4144649540169936
53,0.36100220818977274,0.4670915048599807,0.1719062869502467,22.2,3.8163195702954766
54,0.43868742602572386,0.5280289560453478,0.03328361792892806,24.5,0.8154486392587375
55,0.43065977895129764,0.5192853914882404,0.05005482956046227,24.2,1.211326875363187
56,0.41257269079236975,0.5055996355560685,0.08182767365156186,24.0,1.9638641676374848
57,0.4223304802467713,0.5102035491619071,0.06746597059132146,23.3,1.5719571147777902
58,0.4051635086860025,0.49452521838739866,0.10031127292659904,23.0,2.307159277311778
59,0.37047208324867464,0.4702996776057081,0.15922823914561757,22.8,3.6304038525200806
60,0.3992620907156806,0.4952074517437388,0.10553045754058066,22.5,2.3744352946630647
61,0.3736756915964551,0.47508628944978615,0.15123801895375877,22.2,3.3574840207734447
62,0.32866808806526127,0.4451156833312807,0.22621622860345833,22.0,4.976757029276083
63,0.4397196650734656,0.5277907313912994,0.03248960353523472,22.9,0.7440119209568751
64,0.4300465617172149,0.517921417490348,0.052032020792436746,22.6,1.1759236699090705
65,0.4061956490567855,0.5013310904992049,0.0924732604440092,22.4,2.071401033945806
